943 844
146 571 -650
593 53 -646
399 111 -103
577 436 963
448 752 685
291 861 891
716 527 -123
155 441 -893
383 238 -288
554 196 -550
898 849 474
241 605 -130
87 618 81
205 159 -157
814 607 862
467 533 714
179 35 326
406 22 -923
905 721 -12
532 176 -112
276 658 -188
400 161 526
872 558 966
96 919 -613
583 188 188
638 202 260
82 69 795
170 163 -741
30 314 -415
547 902 107
536 390 177
519 468 138
768 683 -763
877 27 -871
721 26 654
334 773 400
647 460 477
755 283 -190
516 455 224
511 303 837
243 540 288
316 289 -108
728 125 627
20 677 939
317 147 -839
520 5 -493
731 170 535
755 941 1000
693 28 -565
1 788 -362
47 262 -263
240 247 682
718 430 -560
893 821 357
332 518 330
284 242 549
111 293 806
849 161 -210
486 677 392
232 200 786
699 669 -543
122 541 685
595 815 99
932 84 163
408 621 656
182 859 483
299 756 -715
153 867 212
889 192 -837
590 552 -487
262 903 512
566 849 -711
143 536 134
440 441 905
744 460 883
82 277 43
134 864 -652
17 923 452
239 590 99
652 868 -488
318 583 -75
536 688 118
18 291 -21
659 905 723
615 246 -439
734 194 804
116 778 -32
502 647 887
521 657 883
470 829 -449
131 939 -7
66 903 753
369 226 448
170 570 -60
909 316 667
503 876 39
117 820 424
545 77 698
651 565 157
156 58 163
899 667 915
409 544 -402
526 248 330
636 168 695
494 828 -819
85 859 709
298 518 -733
906 166 -674
290 481 -474
654 17 -387
521 148 163
310 215 294
880 398 -212
225 822 254
461 922 500
539 39 -246
750 754 730
483 343 -325
80 353 199
63 42 296
763 455 -609
136 398 -931
541 48 645
31 192 314
636 618 175
640 212 -646
301 641 133
31 874 -547
115 343 -152
520 788 -873
536 462 -77
92 29 476
17 583 -278
380 164 -35
662 323 940
274 16 -874
15 133 575
737 179 -544
305 111 765
820 402 134
759 874 263
424 703 822
426 188 463
386 700 -91
472 877 171
738 613 -716
403 446 562
690 491 -841
53 872 -218
311 697 -760
501 60 716
805 691 244
531 540 -644
555 24 -237
655 157 -552
312 393 956
547 728 -861
390 16 939
91 769 -502
766 334 856
634 739 -130
242 550 159
791 425 579
530 613 237
731 397 -403
243 875 -427
779 628 880
415 127 867
942 546 -642
635 870 -682
705 160 -660
317 373 544
133 549 -919
318 795 -60
333 114 -646
259 614 91
517 605 461
586 352 686
722 71 74
212 534 -385
25 797 984
326 240 661
503 378 503
840 771 -556
358 180 432
590 71 207
129 454 -882
311 229 -322
540 595 174
357 748 -945
45 47 332
852 292 -183
798 430 844
707 324 -2
808 512 284
192 252 -968
517 565 -925
99 130 -917
53 806 213
544 42 -574
134 488 25
771 457 -447
564 714 -765
293 446 877
334 745 163
749 172 371
907 41 -631
647 74 548
461 112 716
40 891 19
561 370 -273
616 721 -892
429 110 -205
411 509 169
915 682 149
326 663 -742
591 678 -794
855 732 -638
128 313 -48
698 410 -436
304 837 562
446 878 675
877 140 -593
709 405 725
889 55 216
75 372 238
827 356 412
677 112 888
234 839 422
743 647 756
429 544 986
173 232 877
683 901 50
142 490 839
819 91 37
175 866 204
300 418 -27
781 886 871
507 290 810
888 789 160
349 821 -942
196 316 -929
805 297 452
789 156 477
417 725 -574
126 49 -817
702 394 914
379 341 754
314 293 -811
737 560 739
89 907 717
314 114 18
590 815 -332
656 511 -869
280 413 -194
160 797 -924
115 238 -919
628 699 832
162 224 243
213 28 -180
659 513 658
392 376 -765
578 778 -714
37 573 937
837 284 -442
679 806 -826
602 822 -466
276 897 -356
881 690 587
763 377 -339
49 678 -603
497 783 756
913 419 265
636 879 -617
161 795 -665
84 685 -413
379 138 -282
491 2 -262
126 439 -228
547 261 469
93 456 -667
518 311 -234
751 532 701
235 280 -350
675 834 780
88 851 679
736 89 746
775 795 -76
